ocena
uczen_id,ncz_prz_id,ocena_date,ocena_value,komentarz,ocena_weight
1, 1, '2024-01-15', 4, 'Aktywność' ,1
2, 14, '2024-01-15', 5, 'Odpowiedź ustna' ,2
3, 13, '2024-01-14', 3, 'Kartkówka' ,2
4, 25, '2024-01-14', 2, 'Zadanie domowe' ,1
5, 17, '2024-01-13', 5, 'Projekt' ,3
6, 21, '2024-01-13', 4, 'Praca w grupie' ,2
7, 4, '2024-01-12', 3, 'Praca na lekcji' ,1
8, 20, '2024-01-12', 1, 'Brak zadania' ,1
9, 1, '2024-01-11', 4, 'Kartkówka' ,2
10, 4, '2024-01-11', 5, 'Prezentacja' ,3
11, 3, '2024-01-10', 3, 'Aktywność' ,1
12, 10, '2024-01-10', 4, 'Praca w grupie' ,1
13, 22, '2024-01-09', 2, 'Odpowiedź ustna' ,2
14, 12, '2024-01-09', 5, 'Projekt' ,3
15, 14, '2024-01-08', 4, 'Kartkówka' ,2
1, 9, '2024-01-05', 4, 'Sprawdzian', 3
2, 9, '2024-01-05', 3, 'Sprawdzian', 3
3, 9, '2024-01-05', 5, 'Sprawdzian', 3
4, 9, '2024-01-05', 2, 'Sprawdzian', 3
5, 9, '2024-01-05', 4, 'Sprawdzian', 3
6, 9, '2024-01-05', 3, 'Sprawdzian', 3
7, 9, '2024-01-05', 2, 'Sprawdzian', 3
8, 9, '2024-01-05', 5, 'Sprawdzian', 3
9, 9, '2024-01-05', 4, 'Sprawdzian', 3
10, 9, '2024-01-05', 3, 'Sprawdzian', 3
11, 9, '2024-01-05', 5, 'Sprawdzian', 3
12, 9, '2024-01-05', 2, 'Sprawdzian', 3
13, 9, '2024-01-05', 4, 'Sprawdzian', 3
14, 9, '2024-01-05', 3, 'Sprawdzian', 3
15, 9, '2024-01-05', 2, 'Sprawdzian', 3
